genderENG,classificationENG,genderHUN,classificationHUN,productId,similarProductsLink,mainProductsLink,productName,priceHUF,priceEUR,brand,stockStatusENG,images,color,catalogId,productDetails
women,pants,női,nadrág,2751205,https://www.fashiondays.hu/v/2751205/n%C5%91i-/ruh%C3%A1zat?productSlug=k%C3%B6z%C3%A9pmagas-derek%C3%BA-chino-nadr%C3%A1g-n%C5%91i-s-oliver&tagId=1,https://www.fashiondays.hu/p/k%C3%B6z%C3%A9pmagas-derek%C3%BA-chino-nadr%C3%A1g-n%C5%91i-s-oliver-p2751205-1/,Középmagas derekú chino nadrág,8199,23.78,s.Oliver,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30514/30513130/images/res_836d204d1c8d1367ebe5940da085f3c5.jpg?s=a5S_2djiI5t5 https://fdcdn.akamaized.net/m/780x1132/products/30514/30513130/images/res_3c148a0cd6d444ce60a0f573d70ce1c4.jpg?s=EN2uRZgIvDEw https://fdcdn.akamaized.net/m/780x1132/products/30514/30513130/images/res_90bd7c38cbec06404c31a75a81e91bee.jpg?s=p4Uobx_L0JJn,katonai zöld,120-10-004-18-180-2036692-7810,Leírás Szín: katonai zöld Stílus: hétköznapi$ irodai Anyag: pamut Minta: nincs Fazon: regular fit Hossz: hosszú Derékrész: középmagas Részletek: övbújtatók Derékrész: hasított farzseb$ 2 ferde zseb az elején Rögzítés: cipzáros és gombos Összetétel Anyag: 98% pamut$ 2% elasztán Bélés: 100% pamut Termékszám 120-10-004-18-180-2036692-7810
women,pants,női,nadrág,2750908,https://www.fashiondays.hu/v/2750908/n%C5%91i-/ruh%C3%A1zat?productSlug=k%C3%B6z%C3%A9pmagas-derek%C3%BA-chino-nadr%C3%A1g-n%C5%91i-s-oliver&tagId=1,https://www.fashiondays.hu/p/k%C3%B6z%C3%A9pmagas-derek%C3%BA-chino-nadr%C3%A1g-n%C5%91i-s-oliver-p2750908-1/,Középmagas derekú chino nadrág,8199,23.78,s.Oliver,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30514/30513124/images/res_8f7c4d9adce5595d1b215d8ee63e3c19.jpg?s=JLXmpOpbBrf- https://fdcdn.akamaized.net/m/780x1132/products/30514/30513124/images/res_e03cf037cc4997605348deeecfb7eb2d.jpg?s=roSN_jVy18P5 https://fdcdn.akamaized.net/m/780x1132/products/30514/30513124/images/res_fb31071e0f4cd2a35471842c2375ed6f.jpg?s=obj9F01Y-ZZp,tevebarna,120-10-004-18-180-2036692-8402,Leírás Szín: tevebarna Stílus: hétköznapi$ irodai Anyag: pamut Minta: nincs Fazon: regular fit Hossz: hosszú Derékrész: középmagas Részletek: övbújtatók Derékrész: hasított farzseb$ 2 ferde zseb az elején Rögzítés: cipzáros és gombos Összetétel Anyag: 98% pamut$ 2% elasztán Bélés: 100% pamut Termékszám 120-10-004-18-180-2036692-8402
women,pants,női,nadrág,2753120,https://www.fashiondays.hu/v/2753120/n%C5%91i-/ruh%C3%A1zat?productSlug=utility-nadr%C3%A1g-megk%C3%B6t%C5%91vel-n%C5%91i-g-star-raw&tagId=1,https://www.fashiondays.hu/p/utility-nadr%C3%A1g-megk%C3%B6t%C5%91vel-n%C5%91i-g-star-raw-p2753120-1/,Utility nadrág megkötővel,30099,87.29,G-Star RAW,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/28030/28029111/images/res_6872539a4cdfeb5d5129e242173799b3.jpg?s=mk0p-YeUUopg https://fdcdn.akamaized.net/m/780x1132/products/28030/28029111/images/res_9b4b99c75ff9a91071bb7705aa251403.jpg?s=QNTBWmBiM2Qv,tengerészkék,D17042-4481-4213,Leírás Szín: tengerészkék Stílus: hétköznapi Anyag: pamut Minta: nincs Fazon: straight fit Hossz: hosszú Derékrész: középmagas Zsebek: megkötő a derékrészen Rögzítés: cipzáros és gombos Összetétel Anyag: 100% pamut Termékszám D17042-4481-4213
women,pants,női,nadrág,2715173,https://www.fashiondays.hu/v/2715173/n%C5%91i-/ruh%C3%A1zat?productSlug=sz%C5%B1k%C3%BCl%C5%91-sz%C3%A1r%C3%BA-nadr%C3%A1g-megk%C3%B6t%C5%91vel-n%C5%91i-marks-spencer&tagId=1,https://www.fashiondays.hu/p/sz%C5%B1k%C3%BCl%C5%91-sz%C3%A1r%C3%BA-nadr%C3%A1g-megk%C3%B6t%C5%91vel-n%C5%91i-marks-spencer-p2715173-1/,Szűkülő szárú nadrág megkötővel,20900,60.61,Marks & Spencer,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30258/30257851/images/res_b5fec235c9e9458852b5111a899351bb.jpg?s=pOqcSACCOvwF https://fdcdn.akamaized.net/m/780x1132/products/30258/30257851/images/res_26d60f29b502d59df8e1b4cfd62af4d9.jpg?s=rSt77KrgW6b- https://fdcdn.akamaized.net/m/780x1132/products/30258/30257851/images/res_8ddc073472e6641d3fb048ff943714c5.jpg?s=8yI72Z6zjPMl https://fdcdn.akamaized.net/m/780x1132/products/30258/30257851/images/res_3dd613a10604355433ef3b0358d74f27.jpg?s=fddGCqrU9m1N https://fdcdn.akamaized.net/m/780x1132/products/30258/30257851/images/res_581f33633fdc69cf0c0cffff76ee592e.jpg?s=UDBPJ2v6i7ZE,fekete,T57-6121-Y0,Leírás Szín: fekete Stílus: hétköznapi Anyag: viszkóz Minta: nincs Szabás: lefelé szűkülő Hossz: hosszú Derékrész: középmagas Részletek: puha anyag$ megkötő a derékrészen Zsebek: 2 az elején Összetétel Anyag: 100% viszkóz Termékszám T57-6121-Y0
women,pants,női,nadrág,2751010,https://www.fashiondays.hu/v/2751010/n%C5%91i-/ruh%C3%A1zat?productSlug=megk%C3%B6t%C5%91s-nadr%C3%A1g-n%C5%91i-s-oliver&tagId=1,https://www.fashiondays.hu/p/megk%C3%B6t%C5%91s-nadr%C3%A1g-n%C5%91i-s-oliver-p2751010-1/,Megkötős nadrág,13799,40.02,s.Oliver,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30514/30513433/images/res_4b96d0c07ee107ca5ea4d7d2fef0728e.jpg?s=A--oh1lGej_b https://fdcdn.akamaized.net/m/780x1132/products/30514/30513433/images/res_3424424622427ffaec7f7e7a4e6ed4eb.jpg?s=kcKHIeKRY47g,homokbarna,120-10-005-18-180-2040355-84W1,Leírás Szín: homokbarna Stílus: hétköznapi Anyag: pamut Minta: nincs Fazon: normál Hossz: hosszú Derékrész: középmagas Részletek: megkötővel állítható derékrész$ hajtások Összetétel Anyag: 100% pamut Termékszám 120-10-005-18-180-2040355-84W1
women,pants,női,nadrág,2758060,https://www.fashiondays.hu/v/2758060/n%C5%91i-/ruh%C3%A1zat?productSlug=slim-fit-nadr%C3%A1g-5-zsebbel-n%C5%91i-tommy-hilfiger&tagId=1,https://www.fashiondays.hu/p/slim-fit-nadr%C3%A1g-5-zsebbel-n%C5%91i-tommy-hilfiger-p2758060-1/,Slim fit nadrág 5 zsebbel,27299,79.17,Tommy Hilfiger,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30186/30185023/images/res_13f52b78dbf8f3636927b717d6b5f61a.jpg?s=sKTAmfbGrCIH https://fdcdn.akamaized.net/m/780x1132/products/30186/30185023/images/res_72ac2b12bc33b9f617f3ea1f897a3f8f.jpg?s=RQbe-v6SOSjN https://fdcdn.akamaized.net/m/780x1132/products/30186/30185023/images/res_d0906bdc3514ed08515c62a26b206d80.jpg?s=Dx1hxKsKt26X https://fdcdn.akamaized.net/m/780x1132/products/30186/30185023/images/res_3601152f92331fd7e7d5dba76452a14e.jpg?s=3AFLk1e96_Ca https://fdcdn.akamaized.net/m/780x1132/products/30186/30185023/images/res_5f611d7724ef92b85ae837586de600ee.jpg?s=68ppLig078UT https://fdcdn.akamaized.net/m/780x1132/products/30186/30185023/images/res_4b4be7c7126835ec0aece7e94a0b23ac.jpg?s=hktPEaVt4oN7 https://fdcdn.akamaized.net/m/780x1132/products/30186/30185023/images/res_afdd313e391ad97bd13f0ba66cecf1ac.jpg?s=hFlJGYg5sCGU,fekete,WW0WW22694-913,Leírás Szín: fekete Stílus: hétköznapi Anyag: poliészter$ pamut Minta: nincs Szabás: szűk Hossz: hosszú Derékrész: középmagas Részletek: fényes hatás Zsebek: 5 Rögzítés: cipzáros és gombos Összetétel Anyag: 75% pamut$ 23% poliészter$ 2% elasztán Modellinformáció A modell W27-L32 méretű terméket visel. Méretei: 180 cm$ mellbőség: 86 cm$ derékbőség: 65 cm$ csípő: 94 cm Termékszám WW0WW22694-913
women,pants,női,nadrág,2758482,https://www.fashiondays.hu/v/2758482/n%C5%91i-/ruh%C3%A1zat?productSlug=b%C5%91-sz%C3%A1r%C3%BA-nadr%C3%A1g-eldolgozatlan-szeg%C3%A9lyekkel-n%C5%91i-motivi&tagId=1,https://www.fashiondays.hu/p/b%C5%91-sz%C3%A1r%C3%BA-nadr%C3%A1g-eldolgozatlan-szeg%C3%A9lyekkel-n%C5%91i-motivi-p2758482-1/,Bő szárú nadrág eldolgozatlan szegélyekkel,13699,39.73,Motivi,limited_quantity,https://fdcdn.akamaized.net/m/780x1132/products/30198/30197943/images/res_0acc10d54ee89e5b21ce2777f5402a47.jpg?s=LKoU6_lT0b2r https://fdcdn.akamaized.net/m/780x1132/products/30198/30197943/images/res_7fd96614ea39298610a205e7bcf1f0e6.jpg?s=GwAfCOfWIRlj,rózsaszín,P147Q001ZV-02,Leírás Szín: rózsaszín Stílus: hétköznapi Anyag: pamut Minta: nincs Fazon: bő szárak Hossz: hosszú Derékrész: középmagas Részletek: eldolgozatlan szegélyek Zsebek: 5 darab Rögzítés: cipzáros és gombos Összetétel Anyag: 97% pamut$ 3% elasztán Bélés: 100% pamut Termékszám P147Q001ZV-02
women,pants,női,nadrág,2751192,https://www.fashiondays.hu/v/2751192/n%C5%91i-/ruh%C3%A1zat?productSlug=chino-nadr%C3%A1g-has%C3%ADtott-farzsebekkel-n%C5%91i-s-oliver&tagId=1,https://www.fashiondays.hu/p/chino-nadr%C3%A1g-has%C3%ADtott-farzsebekkel-n%C5%91i-s-oliver-p2751192-1/,Chino nadrág hasított farzsebekkel,20399,59.16,s.Oliver,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30514/30513381/images/res_b24aa560d2f04d03c7cfa09239df3e4e.jpg?s=0TkvqwjWKgly https://fdcdn.akamaized.net/m/780x1132/products/30514/30513381/images/res_912d200f5107da4acdb7a2419a1031b1.jpg?s=XE_Ee8wjYL7B https://fdcdn.akamaized.net/m/780x1132/products/30514/30513381/images/res_09f1110dacb3605dbb06788bd02ab24a.jpg?s=EpZn0yCqVneP,angolzöld,150-10-005-18-180-2037573-7685,Leírás Szín: angolzöld Stílus: hétköznapi$ irodai Anyag: viszkóz$ poliamid Minta: nincs Szabás: lefelé szűkülő Hossz: hosszú Derékrész: középmagas Részletek: övbújtatók Zsebek: 2 farzseb Összetétel Anyag: 88% viszkóz$ 12% poliamid Bélés: 100% acetát Termékszám 150-10-005-18-180-2037573-7685
women,pants,női,nadrág,2769213,https://www.fashiondays.hu/v/2769213/n%C5%91i-/ruh%C3%A1zat?productSlug=magas-derek%C3%BA-nadr%C3%A1g-%C3%B6vvel-n%C5%91i-tommy-hilfiger&tagId=1,https://www.fashiondays.hu/p/magas-derek%C3%BA-nadr%C3%A1g-%C3%B6vvel-n%C5%91i-tommy-hilfiger-p2769213-1/,Magas derekú nadrág övvel,49999,145,Tommy Hilfiger,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30551/30550745/images/res_8e93f5764261482794462e56c6fbb3e4.jpg?s=YPbyyhCLSDxO https://fdcdn.akamaized.net/m/780x1132/products/30551/30550745/images/res_af5fdd197c588e818db929c871c37f49.jpg?s=qw-TzdJHQTvJ https://fdcdn.akamaized.net/m/780x1132/products/30551/30550745/images/res_61e6734e77aaa1bbb302941f648a4d6e.jpg?s=S-UuM9YRhJlA https://fdcdn.akamaized.net/m/780x1132/products/30551/30550745/images/res_dc757ee06e045b70c179a3bf24b5a948.jpg?s=-TPAOaOe5aRc,tevebarna,WW0WW27783-AEG,Leírás Szín: tevebarna Stílus: hétköznapi Anyag: pamut Minta: nincs Fazon: straight fit Hossz: hosszú Derékrész: magas Részletek: öv a derékrészen$ visszahajtott szárvégek Zsebek: 2 hasított farzseb$ 2 ferde zseb Rögzítés: cipzáros Összetétel Anyag: 96% pamut$ 4% elasztán Termékszám WW0WW27783-AEG
women,pants,női,nadrág,2762811,https://www.fashiondays.hu/v/2762811/n%C5%91i-/ruh%C3%A1zat?productSlug=relaxed-fit-nadr%C3%A1g-kontrasztos-cs%C3%ADkokkal-az-oldal%C3%A1n-n%C5%91i-tommy-hilfiger&tagId=1,https://www.fashiondays.hu/p/relaxed-fit-nadr%C3%A1g-kontrasztos-cs%C3%ADkokkal-az-oldal%C3%A1n-n%C5%91i-tommy-hilfiger-p2762811-1/,Relaxed fit nadrág kontrasztos csíkokkal az oldalán,53999,156.6,Tommy Hilfiger,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30551/30550741/images/res_4087ea7f34a99e405469a3896e214766.jpg?s=AlLI8T_aUrFE https://fdcdn.akamaized.net/m/780x1132/products/30551/30550741/images/res_0dc9af0aead514ae0d1c120368e98c5d.jpg?s=Qgscillua3tP https://fdcdn.akamaized.net/m/780x1132/products/30551/30550741/images/res_43f891b18f66496b0726389c10444344.jpg?s=0V-ebQz8Gyzt https://fdcdn.akamaized.net/m/780x1132/products/30551/30550741/images/res_eb42141869f58553612d8524c05b5b22.jpg?s=W2XGvuf0gk7c,sötétkék,WW0WW27761-DW5,Leírás Szín: sötétkék Stílus: hétköznapi Anyag: poliészter Minta: nincs Fazon: relaxed fit Hossz: hosszú Derékrész: középmagas Részletek: rugalmas derékrész megkötővel$ kontrasztos csíkok az oldalán Zsebek: 2 ferde zseb$ egy farzseb Összetétel Anyag: 95% poliészter$ 5% elasztán Termékszám WW0WW27761-DW5
