genderENG,classificationENG,genderHUN,classificationHUN,productId,similarProductsLink,mainProductsLink,productName,priceHUF,priceEUR,brand,stockStatusENG,images,color,catalogId,productDetails,,,,
women,shorts,női,rövidnadrág,2680878,https://www.fashiondays.hu/v/2680878/n%C5%91i-/ruh%C3%A1zat?productSlug=r%C3%B6vidnadr%C3%A1g-%C3%B6vvel-n%C5%91i-esprit&tagId=1,https://www.fashiondays.hu/p/r%C3%B6vidnadr%C3%A1g-%C3%B6vvel-n%C5%91i-esprit-p2680878-1/,Rövidnadrág övvel,10199,29.58,Esprit,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/27368/27367813/images/res_c7b75a0858e5df2f6d24c37954d7797f.jpg?s=xgHMqe4lPeZz https://fdcdn.akamaized.net/m/780x1132/products/27368/27367813/images/res_381d762e7310437e17b725e7721239c2.jpg?s=nBWFtH7cAH_v https://fdcdn.akamaized.net/m/780x1132/products/27368/27367813/images/res_d29af8cf5c0543f3094e01adb5a3d3d9.jpg?s=a4VbjJdLUF3W https://fdcdn.akamaized.net/m/780x1132/products/27368/27367813/images/res_56865606e73da49ad4552122ee9fdc33.jpg?s=g5Pr52VDva9p https://fdcdn.akamaized.net/m/780x1132/products/27368/27367813/images/res_9ff754cc031d166505f9c58d55f256b6.jpg?s=nQYT-AH7bzXJ,törtfehér,040EO1C304-110,Leírás Szín: törtfehér Stílus: hétköznapi Anyag: pamut$ szintetikus szálak Minta: nincs Fazon: normál Hossz: rövid Derékrész: középmagas Részletek: övvel érkezik Zsebek: 2 hasított zseb a hátoldalán Összetétel Anyag: 95% pamut$ 5% elasztán Öv: 95% pamut$ 5% elasztán Termékszám 040EO1C304-110,,,,
women,shorts,női,rövidnadrág,2672132,https://www.fashiondays.hu/v/2672132/n%C5%91i-/ruh%C3%A1zat?productSlug=magas-derek%C3%BA-lentartalm%C3%BA-r%C3%B6vidnadr%C3%A1g-n%C5%91i-banana-republic&tagId=1,https://www.fashiondays.hu/p/magas-derek%C3%BA-lentartalm%C3%BA-r%C3%B6vidnadr%C3%A1g-n%C5%91i-banana-republic-p2672132-1/,Magas derekú lentartalmú rövidnadrág,12899,37.41,Banana Republic,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/29800/29799157/images/res_6ed3a8672ba280601e12750644283028.jpg?s=uaNPSWSwoHup https://fdcdn.akamaized.net/m/780x1132/products/29800/29799157/images/res_1e549410910193e4b26acd99a51786ea.jpg?s=ma6oievFpNOZ https://fdcdn.akamaized.net/m/780x1132/products/29800/29799157/images/res_851802cfcf4232d812302051d3886e26.jpg?s=_04q5crVtFZF https://fdcdn.akamaized.net/m/780x1132/products/29800/29799157/images/res_e1c3471935d16035dedfbaf8c634672d.jpg?s=HENf5JjroObZ https://fdcdn.akamaized.net/m/780x1132/products/29800/29799157/images/res_d7b2e8af2971fc8cfb4ce745b1c8d558.jpg?s=lFgVX_TM2Ydw,világosszürke,000544889-851,Leírás Szín: világosszürke Stílus: hétköznapi Anyag: pamut$ lenvászon Minta: nincs Fazon: straight fit Hossz: rövid Derékrész: magas Részletek: megkötő a derékrészen Zsebek: 2 hasított farzseb$ 2 az oldalán Rögzítés: cipzáros Összetétel Anyag: 55% len$ 42% pamut$ 3% elasztán Termékszám 000544889-851,,,,
women,shorts,női,rövidnadrág,2662733,https://www.fashiondays.hu/v/2662733/n%C5%91i-/ruh%C3%A1zat?productSlug=vir%C3%A1gmint%C3%A1s-r%C3%B6vidnadr%C3%A1g-n%C5%91i-guess-by-marciano&tagId=1,https://www.fashiondays.hu/p/vir%C3%A1gmint%C3%A1s-r%C3%B6vidnadr%C3%A1g-n%C5%91i-guess-by-marciano-p2662733-1/,Virágmintás rövidnadrág,29299,84.97,GUESS BY MARCIANO,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/27715/27714058/images/res_5f87fbf5a616a28f173ac2d0e0b5200b.jpg?s=os_cRp10N8iF https://fdcdn.akamaized.net/m/780x1132/products/27715/27714058/images/res_ed19845a42bdb45cf0c7444e9f3abe04.jpg?s=mo2ly3XjmvEy https://fdcdn.akamaized.net/m/780x1132/products/27715/27714058/images/res_863adfa5d5c97f818c6dd6620985f3bd.jpg?s=YT-zWaFyIYzd https://fdcdn.akamaized.net/m/780x1132/products/27715/27714058/images/res_180428bfd0d6145f1c47dbb68422d81a.jpg?s=SHgOPX5xcNwv https://fdcdn.akamaized.net/m/780x1132/products/27715/27714058/images/res_4c5c497534c650497ec67e6956a65e25.jpg?s=rcv4U_WJ2Vy0,sárga,02G192-9268Z-G2I0,Leírás Szín: sárga Stílus: hétköznapi Anyag: viszkóz Minta: virágminta Fazon: normál Hossz: rövid Derékrész: középmagas Zsebek: 2 ferde zseb Rögzítés: cipzáros$ kapcsos Összetétel Anyag: 100% viszkóz Modellinformáció A modell 40-es (=S) méretű terméket visel$ európai méretezés szerint. Méretei: magasság: 180 cm$ mellbőség: 86 cm$ derékbőség: 65 cm$ csípő: 94 cm Termékszám 02G192-9268Z-G2I0,,,,
women,shorts,női,rövidnadrág,2664716,https://www.fashiondays.hu/v/2664716/n%C5%91i-/ruh%C3%A1zat?productSlug=magas-derek%C3%BA-lyocell-r%C3%B6vidnadr%C3%A1g-n%C5%91i-guess-jeans&tagId=1,https://www.fashiondays.hu/p/magas-derek%C3%BA-lyocell-r%C3%B6vidnadr%C3%A1g-n%C5%91i-guess-jeans-p2664716-1/,Magas derekú lyocell rövidnadrág,24599,71.34,GUESS JEANS,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/27712/27711554/images/res_002379b2146e8f5226352d7aa0f88049.jpg?s=NsKg5W2qeQq8 https://fdcdn.akamaized.net/m/780x1132/products/27712/27711554/images/res_eb889a31a30102f8778285640c269728.jpg?s=v5UsVQ6BZykz https://fdcdn.akamaized.net/m/780x1132/products/27712/27711554/images/res_c5419e6c302cb1a79e9fa0cf075db5b5.jpg?s=bgFkr6pVIh6M https://fdcdn.akamaized.net/m/780x1132/products/27712/27711554/images/res_988d3f31aa9047959b1ec7f52753a302.jpg?s=ydnJkwPIXvYt https://fdcdn.akamaized.net/m/780x1132/products/27712/27711554/images/res_66c38cd18c283baf29e6f6f6811059ab.jpg?s=wRaJCdUmDcsL https://fdcdn.akamaized.net/m/780x1132/products/27712/27711554/images/res_268d6d09e7e16eecafedf3cba7b2cfd8.jpg?s=M3fiJbmfKH0x,pasztell rózsaszín,W02D30-WCRT1-G6N9,Leírás Szín: pasztell rózsaszín Stílus: hétköznapi Anyag: lyocell Minta: nincs Fazon: normál Hossz: rövid Derékrész: magas Részletek: díszzseb$ levehető öv a derékrészen Zsebek: 2 foltzseb a hátoldalán$ 2 ferde zseb az elején Rögzítés: cipzáros Összetétel Anyag: 100% lyocell$ Modellinformáció A modell S-es méretű terméket visel. Méretei: 180 cm$ mellbőség: 86 cm$ derékbőség: 65 cm$ csípő: 94 cm Termékszám W02D30-WCRT1-G6N9,,,,
women,shorts,női,rövidnadrág,2666438,https://www.fashiondays.hu/v/2666438/n%C5%91i-/ruh%C3%A1zat?productSlug=chino-r%C3%B6vidnadr%C3%A1g-k%C3%B6z%C3%A9pmagas-der%C3%A9kr%C3%A9sszel-n%C5%91i-koton&tagId=1,https://www.fashiondays.hu/p/chino-r%C3%B6vidnadr%C3%A1g-k%C3%B6z%C3%A9pmagas-der%C3%A9kr%C3%A9sszel-n%C5%91i-koton-p2666438-1/,Chino rövidnadrág középmagas derékrésszel,5999,17.4,KOTON,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/29308/29307927/images/res_177578814a377757359a86439f637caa.jpg?s=gzvVnEIKJlI4 https://fdcdn.akamaized.net/m/780x1132/products/29308/29307927/images/res_7bdcb838776c70c32249431e3248c14e.jpg?s=NQ1j0hYIlwRN https://fdcdn.akamaized.net/m/780x1132/products/29308/29307927/images/res_e40a79616f8c31d61ddc29cee808224e.jpg?s=64sIWBWuC7vo https://fdcdn.akamaized.net/m/780x1132/products/29308/29307927/images/res_a9d8c7c7681581888af89915337c3a9d.jpg?s=UK0lM0f9Vtnr,katonai zöld,0YAK01906CW-890,Leírás Szín: katonai zöld Stílus: hétköznapi Anyag: pamut Minta: nincs Fazon: straight fit Hossz: rövid Derékrész: középmagas Zsebek: 2 zseb az elején$ egy farzseb Összetétel Anyag: 97% pamut$ 3% elasztán Termékszám 0YAK01906CW-890,,,,
women,shorts,női,rövidnadrág,2664907,https://www.fashiondays.hu/v/2664907/n%C5%91i-/ruh%C3%A1zat?productSlug=magas-derek%C3%BA-chino-r%C3%B6vidnadr%C3%A1g-n%C5%91i-guess-jeans&tagId=1,https://www.fashiondays.hu/p/magas-derek%C3%BA-chino-r%C3%B6vidnadr%C3%A1g-n%C5%91i-guess-jeans-p2664907-1/,Magas derekú chino rövidnadrág,18299,53.07,GUESS JEANS,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/27712/27711683/images/res_5c1c853b011f00cb0154b70b076865b3.jpg?s=-TZ9AlOFaRsL https://fdcdn.akamaized.net/m/780x1132/products/27712/27711683/images/res_af051c903d8c9ce4cbde6674a3aa2b2b.jpg?s=WcwlXP7c2CNp https://fdcdn.akamaized.net/m/780x1132/products/27712/27711683/images/res_ddb39e3a40ea2dfdb3f635d1983a6cf1.jpg?s=-_SU8HuUTtqP https://fdcdn.akamaized.net/m/780x1132/products/27712/27711683/images/res_7104c0753e678dd0b559ed2900c40301.jpg?s=dBPtAo0Wf9Ic https://fdcdn.akamaized.net/m/780x1132/products/27712/27711683/images/res_3e40e0ddf682495d088c05c7d4bd815e.jpg?s=6IlniraiOrB6 https://fdcdn.akamaized.net/m/780x1132/products/27712/27711683/images/res_f24fc1c7188394969e1ddc164150980d.jpg?s=sIfowGav64Ba,sötétkék,W0GD32-W9X50-G70S,Leírás Szín: sötétkék Stílus: hétköznapi Minta: nincs Fazon: normál Hossz: rövid Derékrész: magas Részletek: megkötő a derékrészen Zsebek: 2 ferde zseb az elején$ 2 hasított farzseb Összetétel Anyag: 100% poliészter Modellinformáció A modell S-es méretű terméket visel. Méretei: 180 cm$ mellbőség: 86 cm$ derékbőség: 65 cm$ csípő: 94 cm Termékszám W0GD32-W9X50-G70S,,,,
women,shorts,női,rövidnadrág,2646762,https://www.fashiondays.hu/v/2646762/n%C5%91i-/ruh%C3%A1zat?productSlug=magas-derek%C3%BA-szat%C3%A9n-r%C3%B6vidnadr%C3%A1g-n%C5%91i-motivi&tagId=1,https://www.fashiondays.hu/p/magas-derek%C3%BA-szat%C3%A9n-r%C3%B6vidnadr%C3%A1g-n%C5%91i-motivi-p2646762-1/,Magas derekú szatén rövidnadrág,15999,46.4,Motivi,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/29251/29250905/images/res_889279a852d449ef80ee87792e0fe5a0.jpg?s=9vEY3joskX88 https://fdcdn.akamaized.net/m/780x1132/products/29251/29250905/images/res_dcca28cdc27d6d96f947a38427657842.jpg?s=Ikt7Yt3NXslC,fahéjbarna,P150Q000XV-06,Leírás Szín: fahéjbarna Stílus: hétköznapi Anyag: szatén Minta: nincs Fazon: bő szárú Hossz: rövid Derékrész: magas Részletek: megkötő Összetétel Anyag: 100% viszkóz Termékszám P150Q000XV-06,,,,
women,shorts,női,rövidnadrág,2675047,https://www.fashiondays.hu/v/2675047/n%C5%91i-/ruh%C3%A1zat?productSlug=b%C5%91v%C3%BCl%C5%91-r%C3%B6vidnadr%C3%A1g-n%C5%91i-bluzat&tagId=1,https://www.fashiondays.hu/p/b%C5%91v%C3%BCl%C5%91-r%C3%B6vidnadr%C3%A1g-n%C5%91i-bluzat-p2675047-1/,Bővülő rövidnadrág,39900,115.71,BLUZAT,limited_quantity,https://fdcdn.akamaized.net/m/780x1132/products/29958/29957299/images/res_ebc493bb7e46cde5394c2f5f53241f54.jpg?s=8ZbmEWfrBuZu https://fdcdn.akamaized.net/m/780x1132/products/29958/29957299/images/res_7cba055b19cc8aa9d73d86d70ef91f5e.jpg?s=bzfq7ZFmdZm5 https://fdcdn.akamaized.net/m/780x1132/products/29958/29957299/images/res_66d3aeca4a217602e27462e90fcf54f2.jpg?s=v-aPV8D2Q_UX,bézs,BLZ20S040-CREAM,Leírás Szín: bézs Stílus: hétköznapi Anyag: pamut Minta: nincs Szabás: bővülő Hossz: rövid Derékrész: magas Zsebek: az oldalán Rögzítés: cipzáros Összetétel Anyag: 100% pamut Termékszám BLZ20S040-CREAM,,,,
women,shorts,női,rövidnadrág,2648575,https://www.fashiondays.hu/v/2648575/n%C5%91i-/ruh%C3%A1zat?productSlug=magas-derek%C3%BA-r%C3%B6vidnadr%C3%A1g-n%C5%91i-na-kd&tagId=1,https://www.fashiondays.hu/p/magas-derek%C3%BA-r%C3%B6vidnadr%C3%A1g-n%C5%91i-na-kd-p2648575-1/,Magas derekú rövidnadrág,6799,19.72,NA-KD,limited_quantity,https://fdcdn.akamaized.net/m/780x1132/products/29331/29330657/images/res_1d16a74afb80cbf24a6bca4e250e5b46.jpg?s=5GnqHv8-fLpU https://fdcdn.akamaized.net/m/780x1132/products/29331/29330657/images/res_90b39a122aea5a45e6a047217bb11d73.jpg?s=6ew3JpAAanf4 https://fdcdn.akamaized.net/m/780x1132/products/29331/29330657/images/res_9e026bf3dd1618121113cd2c1832d031.jpg?s=N1LWV8Gge7Mi https://fdcdn.akamaized.net/m/780x1132/products/29331/29330657/images/res_1822809fc7fd240a78492365076c2d55.jpg?s=_YvxfsIK0Jfo https://fdcdn.akamaized.net/m/780x1132/products/29331/29330657/images/res_8a5267a7a4f98832e99b74f529bba938.jpg?s=xKaq_8o1ZKNC,khaki,1018-003001-0052,Leírás Szín: khaki Stílus: hétköznapi Anyag: pamut Minta: nincs Fazon: normál Hossz: rövid Derékrész: magas Részletek: levehető megkötő a derékrészen Rögzítés: cipzáros Összetétel Anyag: 98% pamut$ 2% elasztán Termékszám 1018-003001-0052,,,,
women,shorts,női,rövidnadrág,2643323,https://www.fashiondays.hu/v/2643323/n%C5%91i-/ruh%C3%A1zat?productSlug=absztrakt-mint%C3%A1j%C3%BA-viszk%C3%B3z-r%C3%B6vidnadr%C3%A1g-n%C5%91i-o-neill&tagId=1,https://www.fashiondays.hu/p/absztrakt-mint%C3%A1j%C3%BA-viszk%C3%B3z-r%C3%B6vidnadr%C3%A1g-n%C5%91i-o-neill-p2643323-1/,Absztrakt mintájú viszkóz rövidnadrág,9599,27.84,O'Neill,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/29252/29251572/images/res_53a0d793d3e579497da93921f79cc072.jpg?s=a92mvVJnAVXf https://fdcdn.akamaized.net/m/780x1132/products/29252/29251572/images/res_b90d0485ad5cdcf54f8619a2f3ad420e.jpg?s=TuBwFn72osnx https://fdcdn.akamaized.net/m/780x1132/products/29252/29251572/images/res_102ee4139a3a10fb67d4c135d9b25434.jpg?s=sN_vl6CoZ0U8 https://fdcdn.akamaized.net/m/780x1132/products/29252/29251572/images/res_07561ca64aed1116224a8c271ac392c8.jpg?s=wMsUAdbbM0KO,fekete,0A7506-9960,Leírás Szín: zöld$ fekete$ fehér Stílus: hétköznapi Anyag: viszkóz Minta: absztrakt Fazon: normál Hossz: rövid Derékrész: középmagas Részletek: rugalmas derékrész$ megkötővel állítható Zsebek: 2 ferde zseb Rögzítés: nincs Összetétel Anyag: 100% viszkóz Modellinformáció A modell S-es méretű terméket visel. Méretei: 180 cm$ mellbőség: 86 cm$ derékbőség: 65 cm$ csípő: 94 cm Termékszám 0A7506-9960,,,,
