genderENG,classificationENG,subclassificationENG,genderHUN,classificationHUN,subclassificationHUN,productId,similarProductsLink,mainProductsLink,productName,priceHUF,priceEUR,brand,stockStatusENG,images,color,catalogId,productDetails
women,skirt,skirt,női,szoknya,szoknya,2744095,https://www.fashiondays.hu/v/2744095/n%C5%91i-/ruh%C3%A1zat?productSlug=vir%C3%A1gmint%C3%A1s-b%C5%91v%C3%BCl%C5%91-viszk%C3%B3zszoknya-n%C5%91i-banana-republic&tagId=1,https://www.fashiondays.hu/p/vir%C3%A1gmint%C3%A1s-b%C5%91v%C3%BCl%C5%91-viszk%C3%B3zszoknya-n%C5%91i-banana-republic-p2744095-1/,Virágmintás bővülő viszkózszoknya,16399,47.56,Banana Republic,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30262/30261713/images/res_3dfa6561263e57df4b0b51e406830032.jpg?s=fPYkYWDJnss0 https://fdcdn.akamaized.net/m/780x1132/products/30262/30261713/images/res_7d3c5d43d1f519064de33a621e8dd121.jpg?s=u4KnR3QXnQM3 https://fdcdn.akamaized.net/m/780x1132/products/30262/30261713/images/res_228660bd0f88d40afc6d47e74dd0be54.jpg?s=N99w-fEAWC6u https://fdcdn.akamaized.net/m/780x1132/products/30262/30261713/images/res_f5658ec0f645ff992808cda6e0dbd1fe.jpg?s=gL2KVs4iqENP https://fdcdn.akamaized.net/m/780x1132/products/30262/30261713/images/res_7d343334ba64e2e68ecd9b9fa0159146.jpg?s=vThtznFa0Qg1 https://fdcdn.akamaized.net/m/780x1132/products/30262/30261713/images/res_5efacfc1403a80f82c1525f664d4e8cf.jpg?s=S8XtCUj5foRF https://fdcdn.akamaized.net/m/780x1132/products/30262/30261713/images/res_a7bb129d471b320c1097dbc4dd6c4e21.jpg?s=wIy5uCkYqAE2,zöld,000585985-066,Leírás Szín: zöld$ fehér$ kék Stílus: hétköznapi Minta: virágminta Szabás: bővülő Anyag: viszkóz Derékrész: magas Hossza: midi Összetétel Anyag: 100% viszkóz Bélés: 100% poliészter Modellinformáció A modell 4-es (=S) méretű terméket visel$ amerikai méretezés szerint. Méretei: 178 cm$ mellbőség: 83 cm$ derékbőség: 59 cm$ csípő: 90 cm Termékszám 000585985-066
women,skirt,skirt,női,szoknya,szoknya,2756664,https://www.fashiondays.hu/v/2756664/n%C5%91i-/ruh%C3%A1zat?productSlug=vir%C3%A1gmint%C3%A1s-plisz%C3%ADrozott-szoknya-n%C5%91i-banana-republic&tagId=1,https://www.fashiondays.hu/p/vir%C3%A1gmint%C3%A1s-plisz%C3%ADrozott-szoknya-n%C5%91i-banana-republic-p2756664-1/,Virágmintás pliszírozott szoknya,23399,67.86,Banana Republic,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30424/30423756/images/res_34217fced0ad446416921ba674191d2c.jpg?s=VYq_Y4XeUyqB https://fdcdn.akamaized.net/m/780x1132/products/30424/30423756/images/res_90746aa951528a3d73b6ffa045e23db7.jpg?s=2CMYCeBWl_m9 https://fdcdn.akamaized.net/m/780x1132/products/30424/30423756/images/res_78c0e392f95250e4297dad8ad72b1662.jpg?s=v9ZOFk-WdU1B https://fdcdn.akamaized.net/m/780x1132/products/30424/30423756/images/res_302cf1939467f687814976cc7a508ae4.jpg?s=PUSvYh83QiRK https://fdcdn.akamaized.net/m/780x1132/products/30424/30423756/images/res_0a64ee00d0f267121609ab822e677803.jpg?s=cQh6w23wpM6a https://fdcdn.akamaized.net/m/780x1132/products/30424/30423756/images/res_786d733ad41ad8c184e0ed318dd1d164.jpg?s=7XFID7iHUeFB,málnaszín,000585989-105,Leírás Szín: málnaszín Stílus: hétköznapi Minta: virágminta Szabás: bővülő Anyag: szintetikus szálak Derékrész: középmagas Hossza: midi Részletek: pliszírozott Összetétel Anyag: 100% poliészter Modellinformáció A modell S-es méretű terméket visel. Méretei: 180 cm$ mellbőség: 86 cm$ derékbőség: 65 cm$ csípő: 94 cm Termékszám 000585989-105
women,skirt,skirt,női,szoknya,szoknya,2751043,https://www.fashiondays.hu/v/2751043/n%C5%91i-/ruh%C3%A1zat?productSlug=farmer-miniszoknya-eldolgozatlan-als%C3%B3-szeg%C3%A9llyel-n%C5%91i-big-star&tagId=1,https://www.fashiondays.hu/p/farmer-miniszoknya-eldolgozatlan-als%C3%B3-szeg%C3%A9llyel-n%C5%91i-big-star-p2751043-1/,Farmer miniszoknya eldolgozatlan alsó szegéllyel,8399,24.36,Big Star,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/27903/27902326/images/res_535c4e2cce7ae424afaaa61b234b6e9f.jpg?s=aSwEOkT3rXtf https://fdcdn.akamaized.net/m/780x1132/products/27903/27902326/images/res_78d03017625778b456d5e333415c2a20.jpg?s=ObSvgfpEQZxl https://fdcdn.akamaized.net/m/780x1132/products/27903/27902326/images/res_74c7b5c78533629df4459b5e1af0fe9d.jpg?s=d7c_3kzirOEi https://fdcdn.akamaized.net/m/780x1132/products/27903/27902326/images/res_7491e1f24cb579d3a5b7793bbdce0f6e.jpg?s=Rd2F1Ox2mpTF https://fdcdn.akamaized.net/m/780x1132/products/27903/27902326/images/res_9de22cdb6fe52820138d7b67c31c53a2.jpg?s=XKryWbv3NDE3 https://fdcdn.akamaized.net/m/780x1132/products/27903/27902326/images/res_b2b9448e7a2dfc554bba789c50adfdc6.jpg?s=R6-hNhej1xV5 https://fdcdn.akamaized.net/m/780x1132/products/27903/27902326/images/res_f88e8975fd9ed49af9d8921e21ef6ba9.jpg?s=UJ0NcV4K7o_1,koptatott fekete,120160998,Leírás Szín: koptatott fekete Stílus: hétköznapi Minta: nincs Szabás: egyenes Anyag: farmer Derékrész: középmagas Hossza: mini Zsebek: 5 darab Részletek: eldolgozatlan alsó szegély Rögzítés: cipzáros és gombos Összetétel Anyag: 100% pamut Modellinformáció A modell 27-es méretű terméket visel. Méretei: 180 cm$ mellbőség: 86 cm$ derékbőség: 65 cm$ csípő: 94 cm Termékszám 120160998
women,skirt,skirt,női,szoknya,szoknya,2744115,https://www.fashiondays.hu/v/2744115/n%C5%91i-/ruh%C3%A1zat?productSlug=vir%C3%A1gmint%C3%A1s-b%C5%91v%C3%BCl%C5%91-viszk%C3%B3zszoknya-n%C5%91i-banana-republic&tagId=1,https://www.fashiondays.hu/p/vir%C3%A1gmint%C3%A1s-b%C5%91v%C3%BCl%C5%91-viszk%C3%B3zszoknya-n%C5%91i-banana-republic-p2744115-1/,Virágmintás bővülő viszkózszoknya,16399,47.56,Banana Republic,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30262/30261721/images/res_45b8d431c245e531cf8a4ff6496267d4.jpg?s=XTe4vHfZJU8Y https://fdcdn.akamaized.net/m/780x1132/products/30262/30261721/images/res_f7bf055a0c312dbe843f2b2d9bb4d9fb.jpg?s=LFAyK5KsSvzY https://fdcdn.akamaized.net/m/780x1132/products/30262/30261721/images/res_2782ccfea650b11ff99a4957d4760db9.jpg?s=Rp7f6VpfrUDh https://fdcdn.akamaized.net/m/780x1132/products/30262/30261721/images/res_28020c42fa3d1e0e29fcfa77bda03512.jpg?s=OvTkPkKAERAF https://fdcdn.akamaized.net/m/780x1132/products/30262/30261721/images/res_bcf10a08799707b7757ec4a4f1270615.jpg?s=cEchrAjJZ9T_ https://fdcdn.akamaized.net/m/780x1132/products/30262/30261721/images/res_b73af2e9cc3462b1f2fc40eda31187ac.jpg?s=NPjmLPf5_DTk,fekete,000585985-698,Leírás Szín: fekete$ fehér Stílus: hétköznapi Minta: virágminta Szabás: bővülő Anyag: viszkóz Derékrész: magas Hossza: midi Összetétel Anyag: 100% viszkóz Bélés: 100% poliészter Modellinformáció A modell 4-es (=S) méretű terméket visel$ amerikai méretezés szerint. Méretei: 178 cm$ mellbőség: 83 cm$ derékbőség: 59 cm$ csípő: 90 cm Termékszám 000585985-698
women,skirt,skirt,női,szoknya,szoknya,2757899,https://www.fashiondays.hu/v/2757899/n%C5%91i-/ruh%C3%A1zat?productSlug=cs%C3%ADkos-miniszoknya-n%C5%91i-tommy-hilfiger&tagId=1,https://www.fashiondays.hu/p/cs%C3%ADkos-miniszoknya-n%C5%91i-tommy-hilfiger-p2757899-1/,Csíkos miniszoknya,23399,67.86,Tommy Hilfiger,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30185/30184965/images/res_3b44018111a89686fb1ed3b87fef1cd3.jpg?s=tjzIyXCxif9a https://fdcdn.akamaized.net/m/780x1132/products/30185/30184965/images/res_63e86f4def7d9bf58765943a8938369a.jpg?s=U7rjnGmmmMkZ https://fdcdn.akamaized.net/m/780x1132/products/30185/30184965/images/res_ff31f1f645ae667e1e52226324471976.jpg?s=JmYzvACkTahj https://fdcdn.akamaized.net/m/780x1132/products/30185/30184965/images/res_09dd7bb0945724cf997a9d6b277a813f.jpg?s=Qg2lMBVX0xW- https://fdcdn.akamaized.net/m/780x1132/products/30185/30184965/images/res_1a44938d574e3bc6853aa61f40085d63.jpg?s=WjtLqb9cFUQ5 https://fdcdn.akamaized.net/m/780x1132/products/30185/30184965/images/res_4b055443bda1715bee10fc9f5a502c27.jpg?s=l1n2amLagN2I,tengerészkék,DW0DW02308-901,Leírás Szín: tengerészkék Stílus: hétköznapi Minta: csíkos Szabás: bővülő Anyag: pamut Derékrész: középmagas Hossza: mini Összetétel Anyag: 100% pamut Modellinformáció A modell S-es méretű terméket visel. Méretei: 180 cm$ mellbőség: 86 cm$ derékbőség: 65 cm$ csípő: 94 cm Termékszám DW0DW02308-901
women,skirt,skirt,női,szoknya,szoknya,2743547,https://www.fashiondays.hu/v/2743547/n%C5%91i-/ruh%C3%A1zat?productSlug=lentartalm%C3%BA-midiszoknya-oldalzsebekkel-n%C5%91i-gap&tagId=1,https://www.fashiondays.hu/p/lentartalm%C3%BA-midiszoknya-oldalzsebekkel-n%C5%91i-gap-p2743547-1/,Lentartalmú midiszoknya oldalzsebekkel,11199,32.48,GAP,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30261/30260489/images/res_d7553888b2e083286be823e762951fe0.jpg?s=Pwyzaibadaoy https://fdcdn.akamaized.net/m/780x1132/products/30261/30260489/images/res_3aba63c50e646e196bce687ed520cc50.jpg?s=q37FFYCpGDqm https://fdcdn.akamaized.net/m/780x1132/products/30261/30260489/images/res_23161f04168ab9442fbacea766c36e22.jpg?s=UqpF9AiAjCjj https://fdcdn.akamaized.net/m/780x1132/products/30261/30260489/images/res_1c7cd578bfd3241f0afaa0cb5a37a289.jpg?s=XxmlD9DcIae0 https://fdcdn.akamaized.net/m/780x1132/products/30261/30260489/images/res_c2fb0e4bb9d1f6f1db6048634178d55f.jpg?s=nS_SUSfo3sQZ https://fdcdn.akamaized.net/m/780x1132/products/30261/30260489/images/res_795696f1bcaea4137744a2914ea5733d.jpg?s=S4JRFgYKRuxf,zöld,000577581-426,Leírás Szín: zöld Stílus: hétköznapi Minta: nincs Szabás: bővülő Anyag: lenvászon$ műselyem Derékrész: középmagas Hossza: midi Zsebek: 2 az oldalán Részletek: derékpánt Rögzítés: gombos Összetétel Anyag: 55% len$ 45% műselyem Modellinformáció A modell S-es méretű terméket visel. Méretei: 178 cm$ mellbőség: 83 cm$ derékbőség: 59 cm$ csípő: 90 cm Termékszám 000577581-426
women,skirt,skirt,női,szoknya,szoknya,2743554,https://www.fashiondays.hu/v/2743554/n%C5%91i-/ruh%C3%A1zat?productSlug=lentartalm%C3%BA-midiszoknya-oldalzsebekkel-n%C5%91i-gap&tagId=1,https://www.fashiondays.hu/p/lentartalm%C3%BA-midiszoknya-oldalzsebekkel-n%C5%91i-gap-p2743554-1/,Lentartalmú midiszoknya oldalzsebekkel,11199,32.48,GAP,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30261/30260483/images/res_f808082b0d2c9415c8a286745e60aff7.jpg?s=WQLDHpqSTNk4 https://fdcdn.akamaized.net/m/780x1132/products/30261/30260483/images/res_fdbd4f87f12b4a5715d7673d75b979b1.jpg?s=aF-bzfZwhvw6 https://fdcdn.akamaized.net/m/780x1132/products/30261/30260483/images/res_9b55d1f5059eac110b34627aca57b279.jpg?s=aopFuCi_2Ybp https://fdcdn.akamaized.net/m/780x1132/products/30261/30260483/images/res_6ba3436ddfd680dbe1226798d57a47f5.jpg?s=ZnsEgVQsXdkj https://fdcdn.akamaized.net/m/780x1132/products/30261/30260483/images/res_3083a55cb975548bbde46d7635e79f23.jpg?s=2TODDQX26sg8 https://fdcdn.akamaized.net/m/780x1132/products/30261/30260483/images/res_87550e03dc8669529e4192d9072eb105.jpg?s=HCYJlQK0J5lT https://fdcdn.akamaized.net/m/780x1132/products/30261/30260483/images/res_45ee027fa73ec04d898bbfa2d34a8413.jpg?s=ZYSreC-rkzKl https://fdcdn.akamaized.net/m/780x1132/products/30261/30260483/images/res_1b8bd0b7e426bbce3c8f26f727c73391.jpg?s=xzI_CvMc2uk7,tengerészkék,000577581-802,Leírás Szín: tengerészkék Stílus: hétköznapi Minta: nincs Szabás: bővülő Anyag: lenvászon$ műselyem Derékrész: középmagas Hossza: midi Zsebek: 2 az oldalán Részletek: derékpánt Rögzítés: gombos Összetétel Anyag: 55% len$ 45% műselyem Modellinformáció A modell S-es méretű terméket visel. Méretei: 178 cm$ mellbőség: 83 cm$ derékbőség: 59 cm$ csípő: 90 cm Termékszám 000577581-802
women,skirt,skirt,női,szoknya,szoknya,2744079,https://www.fashiondays.hu/v/2744079/n%C5%91i-/ruh%C3%A1zat?productSlug=vir%C3%A1gmint%C3%A1s-plisz%C3%ADrozott-szoknya-n%C5%91i-banana-republic&tagId=1,https://www.fashiondays.hu/p/vir%C3%A1gmint%C3%A1s-plisz%C3%ADrozott-szoknya-n%C5%91i-banana-republic-p2744079-1/,Virágmintás pliszírozott szoknya,20299,58.87,Banana Republic,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30262/30261742/images/res_2004c78c2befbb9e6a96e08882707b53.jpg?s=qrZPktWJDeDH https://fdcdn.akamaized.net/m/780x1132/products/30262/30261742/images/res_e28eb181e43af9d9726c6bcb22c5d619.jpg?s=RsjrzS4Lc-TR https://fdcdn.akamaized.net/m/780x1132/products/30262/30261742/images/res_3666ee353d04f854923b3c8f4e09261b.jpg?s=PPuOtJyhe6Hn https://fdcdn.akamaized.net/m/780x1132/products/30262/30261742/images/res_3a5f922d082e2e9829e54c5b6218b92d.jpg?s=LxCfnieQuMPV https://fdcdn.akamaized.net/m/780x1132/products/30262/30261742/images/res_d0f1bd610895f286b20958c1282a5daf.jpg?s=AeHcsKc9rzMn https://fdcdn.akamaized.net/m/780x1132/products/30262/30261742/images/res_6d22799155eb84493406d49887204040.jpg?s=bRGcVamz-RRY https://fdcdn.akamaized.net/m/780x1132/products/30262/30261742/images/res_cda1806b86b03d8912daa6c52289948a.jpg?s=XXVRVYYZntEy,fekete,000586034-010,Leírás Szín: fekete$ zöld$ rózsaszín Stílus: hétköznapi Minta: virágminta Szabás: bővülő Anyag: szintetikus szálak Derékrész: magas Hossza: midi Részletek: pliszírozott megjelenés Összetétel Anyag: 100% poliészter Bélés: 100% poliészter Modellinformáció A modell 4-es (=S) méretű terméket visel$ amerikai méretezés szerint. Méretei: 178 cm$ mellbőség: 83 cm$ derékbőség: 59 cm$ csípő: 90 cm Termékszám 000586034-010
women,skirt,skirt,női,szoknya,szoknya,2743412,https://www.fashiondays.hu/v/2743412/n%C5%91i-/ruh%C3%A1zat?productSlug=lentartalm%C3%BA-midiszoknya-oldalzsebekkel-n%C5%91i-gap&tagId=1,https://www.fashiondays.hu/p/lentartalm%C3%BA-midiszoknya-oldalzsebekkel-n%C5%91i-gap-p2743412-1/,Lentartalmú midiszoknya oldalzsebekkel,11199,32.48,GAP,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30261/30260469/images/res_394d4b46d753d6013edabc65726fbe1c.jpg?s=PNBZMnlXlFTp https://fdcdn.akamaized.net/m/780x1132/products/30261/30260469/images/res_9a8e559d201e8860580e4a4f4610d429.jpg?s=okJM4YiZmYra https://fdcdn.akamaized.net/m/780x1132/products/30261/30260469/images/res_49316c09dffeb0cc495c6d305d41c100.jpg?s=aYMVh709dF8H https://fdcdn.akamaized.net/m/780x1132/products/30261/30260469/images/res_2f6b29ed4b48c2f57f4e279079c48b3d.jpg?s=7vOsi3bANowT https://fdcdn.akamaized.net/m/780x1132/products/30261/30260469/images/res_ed308d2125956ccb06e9746c180cbd90.jpg?s=T2BVIPDLJzuE https://fdcdn.akamaized.net/m/780x1132/products/30261/30260469/images/res_c9d241bbb5022dbfb6e3fe136513de1a.jpg?s=PS6FJAlK_rP4 https://fdcdn.akamaized.net/m/780x1132/products/30261/30260469/images/res_d7ace11f2d83506848844167ed0aafaa.jpg?s=uolmcTgVwlSq,tevebarna,000577581-316,Leírás Szín: tevebarna Stílus: hétköznapi Minta: nincs Szabás: bővülő Anyag: lenvászon$ műselyem Derékrész: középmagas Hossza: midi Zsebek: 2 az oldalán Részletek: derékpánt Rögzítés: gombos Összetétel Anyag: 55% len$ 45% műselyem Modellinformáció A modell S-es méretű terméket visel. Méretei: 178 cm$ mellbőség: 83 cm$ derékbőség: 59 cm$ csípő: 90 cm Termékszám 000577581-316
women,skirt,skirt,női,szoknya,szoknya,2751020,https://www.fashiondays.hu/v/2751020/n%C5%91i-/ruh%C3%A1zat?productSlug=mosott-hat%C3%A1s%C3%BA-farmer-miniszoknya-n%C5%91i-big-star&tagId=1,https://www.fashiondays.hu/p/mosott-hat%C3%A1s%C3%BA-farmer-miniszoknya-n%C5%91i-big-star-p2751020-1/,Mosott hatású farmer miniszoknya,8399,24.36,Big Star,limited_quantity,https://fdcdn.akamaized.net/m/780x1132/products/27903/27902336/images/res_948a5c7a7cece01cd6d0d76c7838cdef.jpg?s=WLCia38eNWQe https://fdcdn.akamaized.net/m/780x1132/products/27903/27902336/images/res_25e9df5564b564831f268c6597a033b2.jpg?s=n4eO9Ieg7IhK https://fdcdn.akamaized.net/m/780x1132/products/27903/27902336/images/res_a62bc7df82039d020467d933caaea744.jpg?s=Zyu7KP-bKX_q https://fdcdn.akamaized.net/m/780x1132/products/27903/27902336/images/res_9162d0cb0a1c02337dc0130841377c10.jpg?s=yYmRGM1j2XWI https://fdcdn.akamaized.net/m/780x1132/products/27903/27902336/images/res_b757c932eed64658fec102600c6ebb6d.jpg?s=8qCXvkIsqj_6 https://fdcdn.akamaized.net/m/780x1132/products/27903/27902336/images/res_836b58cefb9f30c45a078e757d05203c.jpg?s=2AR_MT7DIofR,kék,120166305,Leírás Szín: kék Stílus: hétköznapi Minta: nincs Szabás: egyenes Anyag: farmer Derékrész: középmagas Hossza: mini Zsebek: 5 darab Részlet: enyhén koptatott hatás Rögzítés: cipzáros és gombos Összetétel Anyag: 98% pamut$ 2% elasztán Modellinformáció A modell 27-es méretű terméket visel. Méretei: 180 cm$ mellbőség: 86 cm$ derékbőség: 65 cm$ csípő: 94 cm Termékszám 120166305
